User Text Segment [00400000]..[00440000]
[00400000] 8fa40000  lw $4, 0($29)            
[00400004] 27a50004  addiu $5, $29, 4         
[00400008] 24a60004  addiu $6, $5, 4          
[0040000c] 00041080  sll $2, $4, 2            
[00400010] 00c23021  addu $6, $6, $2          
[00400014] 0c100009  jal 0x00400024 [main]    
[00400018] 00000000  nop                      
[0040001c] 3402000a  ori $2, $0, 10           
[00400020] 0000000c  syscall                  
[00400024] 2402000a  addiu $2, $0, 10         
[00400028] 24030001  addiu $3, $0, 1          
[0040002c] 2404ffff  addiu $4, $0, -1         
[00400030] 24051234  addiu $5, $0, 4660       
[00400034] 08100010  j 0x00400040 [l_1]       
[00400038] 00bf2821  addu $5, $5, $31         
[0040003c] 10000004  beq $0, $0, 16 [l_2-0x0040003c]
[00400040] 24a50007  addiu $5, $5, 7          
[00400044] 0c10000e  jal 0x00400038 [l_0]     
[00400048] 0810001f  j 0x0040007c [l_8]       
[0040004c] 24a50009  addiu $5, $5, 9          
[00400050] 14640003  bne $3, $4, 12 [l_4-0x00400050]
[00400054] 24a50005  addiu $5, $5, 5          
[00400058] 04010005  bgez $0 20 [l_6-0x00400058]
[0040005c] 24a5000b  addiu $5, $5, 11         
[00400060] 1860fffd  blez $3 -12 [l_3-0x00400060]
[00400064] 24a50063  addiu $5, $5, 99         
[00400068] 1c60fffb  bgtz $3 -20 [l_3-0x00400068]
[0040006c] 24a5006f  addiu $5, $5, 111        
[00400070] 03e00008  jr $31                   
[00400074] 24a500c8  addiu $5, $5, 200        
[00400078] 0000000c  syscall                  
[0040007c] 24a500d7  addiu $5, $5, 215        
[00400080] 0c100023  jal 0x0040008c [l_10]    
[00400084] 24a50001  addiu $5, $5, 1          
[00400088] 0000000c  syscall                  
[0040008c] 00a62821  addu $5, $5, $6          
[00400090] 04900003  bltzal $4 12 [l_12-0x00400090]
[00400094] 24a50190  addiu $5, $5, 400        
[00400098] 0000000c  syscall                  
[0040009c] 00a62821  addu $5, $5, $6          
[004000a0] 0491fffd  bgezal $4 -12 [l_11-0x004000a0]
[004000a4] 3c01beb0  lui $1, -16720           
[004000a8] 3421063d  ori $1, $1, 1597         
[004000ac] 00a12821  addu $5, $5, $1          
[004000b0] 0000000c  syscall                  


