User Text Segment [00400000]..[00440000]
[00400000] 8fa40000  lw $4, 0($29)            
[00400004] 27a50004  addiu $5, $29, 4         
[00400008] 24a60004  addiu $6, $5, 4          
[0040000c] 00041080  sll $2, $4, 2            
[00400010] 00c23021  addu $6, $6, $2          
[00400014] 0c000000  jal 0x00000000 [main]    
[00400018] 00000000  nop                      
[0040001c] 3402000a  ori $2, $0, 10           
[00400020] 0000000c  syscall                  
[00400024] 2402000a  addiu $2, $0, 10         
[00400028] 24080005  addiu $8, $0, 5          
[0040002c] 2509012c  addiu $9, $8, 300        
[00400030] 240a01f4  addiu $10, $0, 500       
[00400034] 254b0022  addiu $11, $10, 34       
[00400038] 256b002d  addiu $11, $11, 45       
[0040003c] 0000000c  syscall                  


